                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5257,                 3.6019,                 4.1822,                0.00413,                0.54869,                 0.0123,                0.00381,                 3.3616,                  3.685,                 4.2043,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.2002,                 3.3711,                 3.7286,                0.00406,                0.54157,                0.03673,                0.01244,                 3.0541,                 3.3341,                 4.0759,              0.0012547,              0.0012547,              0.0012547
                      3,                 3.0268,                 3.2632,                 3.3793,                 0.0246,                 0.1924,                0.01292,                0.00329,                 3.1718,                 37.628,                 5.0397,                0.00179,                0.00179,                0.00179
                      4,                 2.9362,                 3.1961,                  3.206,                0.01732,                0.17815,                0.00914,                0.00269,                 3.1783,                 42.651,                 6.0812,               0.001703,               0.001703,               0.001703
                      5,                 2.8113,                 3.0308,                  3.064,                0.09747,                0.15677,                 0.0406,                0.00979,                 2.9524,                 8.7368,                 3.6424,               0.001703,               0.001703,               0.001703
                      6,                 2.6911,                 2.9761,                 2.9528,                0.14883,                0.17815,                0.08767,                0.02636,                 2.5911,                 3.3396,                 3.0448,               0.001604,               0.001604,               0.001604
                      7,                 2.5976,                 2.8773,                 2.9134,                0.08801,                0.13302,                0.04287,                0.01515,                 2.5516,                 3.5136,                 2.9553,               0.001505,               0.001505,               0.001505
                      8,                 2.5015,                 2.7674,                 2.8246,                0.22773,                0.26128,                0.13389,                 0.0429,                 2.5021,                 2.7799,                 2.8965,               0.001406,               0.001406,               0.001406
                      9,                 2.4118,                 2.7136,                 2.7342,                0.25929,                0.27553,                0.15172,                0.05474,                 2.3329,                   2.64,                 2.7963,               0.001307,               0.001307,               0.001307
                     10,                 2.3235,                 2.5749,                 2.6606,                0.32111,                0.31591,                0.22728,                0.08437,                 2.3064,                 2.5007,                 2.7741,               0.001208,               0.001208,               0.001208
                     11,                 2.2383,                 2.7006,                 2.6098,                0.48418,                0.35154,                0.31318,                0.14089,                 2.1146,                 2.3987,                 2.5793,               0.001109,               0.001109,               0.001109
                     12,                 2.1344,                 2.5505,                 2.4982,                0.48954,                0.35154,                0.34979,                0.15188,                 2.1113,                 2.3412,                 2.5516,                0.00101,                0.00101,                0.00101
                     13,                 2.1211,                 2.4804,                 2.4589,                0.52084,                0.35889,                0.35112,                0.17294,                 2.0242,                 2.3305,                 2.4626,               0.000911,               0.000911,               0.000911
                     14,                 2.0743,                 2.3948,                 2.4311,                0.52709,                0.37292,                0.39002,                 0.1724,                   1.99,                 2.2776,                 2.4424,               0.000812,               0.000812,               0.000812
                     15,                 2.0406,                 2.3656,                 2.4034,                0.49943,                0.36817,                0.37537,                0.17717,                 1.9195,                 2.2368,                 2.3823,               0.000713,               0.000713,               0.000713
                     16,                 2.0009,                 2.3052,                 2.3649,                0.58462,                0.38242,                0.44792,                0.20845,                 1.9657,                 2.1161,                 2.4081,               0.000614,               0.000614,               0.000614
                     17,                 1.9824,                 2.2641,                 2.3343,                0.56286,                0.44418,                0.44604,                0.23712,                  1.855,                 2.0851,                 2.3152,               0.000515,               0.000515,               0.000515
                     18,                 1.9309,                 2.2252,                 2.3188,                0.71533,                 0.4038,                0.49296,                0.26726,                 1.8189,                 2.0297,                 2.2943,               0.000416,               0.000416,               0.000416
                     19,                 1.9053,                 2.1423,                 2.2886,                0.66357,                0.40618,                0.48106,                0.26856,                 1.8102,                 1.9851,                 2.2633,               0.000317,               0.000317,               0.000317
                     20,                 1.8928,                 2.1126,                 2.2498,                0.56366,                0.42755,                0.46215,                0.25197,                 1.7681,                 2.0042,                 2.2258,               0.000218,               0.000218,               0.000218
